Order,Bridge-ID,Bridge-ENG,Bridge-ESP,District,POE,Location,AlternateNames,Type-Status,Description,BridgeOpened,US-Owner,US-Operator,MexicanOwner,MexicanOperator,PortAccess-or-Egress Road-TX,PortAccess-or-Egress-Road-MX,Connection-to-Major-Highways-US,Connection-to-Major Highways-MX,InspectionFacility-BorderStation,RailroadConnection-to-MajorCities,ModeNotes,DidYouKnow,Comments-BridgeDirector,Comments-UNT-or-TxDOT
11,LRD-DLR-LAKA,Lake Amistad Dam Crossing,Puente Internacional Presa La Amistad,Laredo,Del Rio,"Del Rio, Val Verde County, Texas, U.S. – Ciudad 
Acuña, Coahuila, MX",Lake Amistad Dam International Crossing | Amistad Dam | La Presa Amistad | Cruce Internacional de la Amistad,Highway Crossing,"LAKE AMISTAD DAM CROSSING WAS BUILT IN 1969. The U.S. side of the crossing is owned and operated by the U.S. section of the International 
Boundary and Water Commission. The Mexico side is owned and operated by the Mexican section of the International Boundary and Water Commission.",Built in 1969.,International Boundary and Water Commission (U.S. Section),Owner Operated,International Boundary and Water Commission (Mexican Section),Owner Operated,SS 349,MEX 2,Spur 349 is the bridge access road and connects to US 90 and US 277/377.,The bridge access road interconnects with MEX 2.,"The land port of entry (LPOE) is owned by U.S. Customs & Border Protection (CBP), and was completed in 1969.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles.,Lake Amistad Dam Crossing is the only crossing in the Laredo region that is for passenger vehicles only.,,
12,LRD-DLR-DELR,Del Rio International Bridge,Puente Acuña-Del Rio,Laredo,Del Rio,"Del Rio, Val Verde County, Texas, U.S. – Ciudad 
Acuña, Coahuila, MX",Del Rio–Ciudad Acuña International Bridge | Puente Acuña | Puente Ciudad Acuña-Ciudad Del Río | Puente Internacional Ciudad Acuña-Del Río,Highway Crossing,"ORIGINALLY BUILT IN 1930, Del Rio International Bridge was reconstructed in 1967 and in 1988. The current bridge opened in 1988. The bridge is a 2,035-foot-long, four-lane bridge with two pedestrian sidewalks. The U.S. side of the bridge is owned and operated by the City of Del Rio. The Mexican side of the bridge is owned by the Government of Mexico and operated by Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE).",Current bridge opened in 1988.,City of Del Rio,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),US 277BU/Spur 239,Lib. José de Las Fuentes/C. Gral. Bravo,The bridge access road is designated US 277BU/Spur 239 and connects to US 90 which is on the Texas Highway Freight Network.,The bridge access road leads to central Ciudad Acuña. Several major roads provide access to MEX 29 and MEX 2.,"The Del Rio land port of entry (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). The LPOE was built in 1960. It was updated and expanded in 1991, 1999, and 2009 with a new import dock and new adminis_x0002_tration and non-commercial facilities. The new Toll Plaza building was relocated and opened in October of 2017.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,"At 2,035 feet, Del Rio International Bridge is the longest bridge in the Laredo region.","Information in factsheet correct
1)  Current Bridge opened for business in 1988.  The information you have from 1967 to 1988 is correct in your attached PDF.
2)  The new Toll Plaza building was relocated and opened in October of 2017.
3)  Mill overlay project is scheduled for July of 2025 on the bridge.",0529 Ciudad Acuña International Bridge – Mexico Projects
13,LRD-EGP-EAGL,Eagle Pass International Bridge,Puente Piedras Negras I – Eagle Pass,Laredo,Eagle Pass,"Eagle Pass, Maverick County, Texas, U.S. – 
Piedras Negras, Coahuila, MX",Bridge I | Eagle Pass-Piedras Negras International Bridge | Eagle Pass Bridge I | Eagle Pass International Bridge I | Puente Piedras Negras-Eagle Pass | Puente Internacional Piedras Negras-Eagle Pass,Highway Crossing,"ORIGINALLY BUILT IN 1927, Eagle Pass International Bridge was reconstructed in 1954 and rehabilitated in 1985. The bridge is 1,855 feet long, and features one vehicle lane and one sidewalk in each direction. The U.S. side is owned by the City of Eagle Pass and operated by Eagle Pass Bridge System. The Mexican side is owned by the Government of Mexico and operated by Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE).","Originally built in 1927, reconstructed in 1954, and rehabilitated in 1985.",City of Eagle Pass,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),US 57/W. Garrison Str.,MEX 57/C. Abasolo/C. Matamoros,The bridge access road interconnects with Garrison Street/US 57 which is on the National Highway Freight Network and provides access to US 277 (part of the Texas Highway Freight Network) and I-35 (part of the National Highway Freight Network).,The bridge access road is designated MEX 57 which connects to MEX 2.,"The Eagle Pass International Bridge land port of entry (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). It was completed in 1960 and renovated in 1992.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles.,"The second highest 
number of northbound pedestrian crossings in the 
Laredo region were at Eagle Pass International Bridge.","
Rates and schedules are correct
Bridge I was begun 1850
Rehabilitated in 1956
And reconstructed in 1968",0506 Piedras Negras International Bridge – Mexico Projects
14,LRD-EGP-CAMI,Camino Real International Bridge,Puente Piedras Negras II – Eagle Pass,Laredo,Eagle Pass,"Eagle Pass, Maverick County, Texas, U.S. – Piedras Negras, Coahuila, MX",Eagle Pass – Piedras Negras International Bridge II | Camino Real International Bridge II | Puente Dos | Puente Internacional Camino Real | Puente Camino Real | Puente Internacional Coahuila 2000 | Puente Internacional Piedras Negras-Eagle Pass II,Highway Crossing,"CAMINO REAL INTERNATIONAL BRIDGE BEGAN OPERATIONS IN 2000. The City of Eagle Pass received the Presidential permit for this bridge in 1996. The bridge is 1,384 feet long with three vehicle lanes and one sidewalk in each direction. The U.S. side is owned by the City of Eagle Pass and operated by the Eagle Pass Bridge System. The Mexican side is owned by the Government of Mexico and operated by Operadora y Administración Técnica S.A. de C.V.  (HOATSA).",Opened in 2000.,City of Eagle Pass,Owner Operated,Government of Mexico,Operadora y Administración Técnica S.A. de C.V.  (HOATSA),S. Monroe Str.,Lib. Fausto Martinez,"The bridge is accessed by Loop 480, an Eagle Pass truck route, that connects to US 57 which is part of the Texas Highway Freight Network.","Libramiento Fausto Mar_x0002_tinez, the bridge access road, provides access to MEX 57 and MEX 2.","The Camino Real International Bridge land port of entry (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). It sits on approximately 46 acres.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,Camino Real International Bridge is the most recently constructed bridge for commercial trucks in the Laredo region.,"
Rates and schedules are correct
Camino Real International Bridge Inauguration 1999
Began operations in 2000
and our Offices were built in 2024 and reopened.",0126 Piedras Negras II International Bridge – Mexico Projects
15,LRD-EGP-UNIO,Union Pacific Eagle Pass Railroad Bridge,Puente Internacional Ferroviario Ferromex-UP,Laredo,Eagle Pass,"Eagle Pass, Maverick County, Texas, U.S. – 
Piedras Negras, Coahuila, MX",,Railroad Crossing,UNION PACIFIC EAGLE PASS RAILROAD BRIDGE is owned and operated by Union Pacific Railroad on the U.S. side. The Mexican side is owned by the Government of Mexico and operated by Ferromex.,,Union Pacific Railroad,Owner Operated,Government of Mexico,Ferromex,N/A,N/A,,,,"IN THE U.S.: El Paso, Texas; San Antonio, Texas
IN MEXICO: Torreón, Coahuila; Saltillo, Coahuila; and 
Monterrey, Nuevo León",,,,
16,LRD-LRD-COLO,Colombia Solidarity Bridge,Puente Internacional Puerto Fronterizo Colombia-Laredo,Laredo,Laredo,"Laredo, Webb County, Texas, U.S. – Colombia, 
Nuevo León, MX",Colombia Bridge | Laredo-Colombia Solidarity Bridge | Colombia-Solidarity International Bridge | Bridge III | Laredo III | Puente Nuevo Laredo III | Puente Internacional General Bernardo Reyes- Colombia Solidaridad | Puente Solidaridad | Puente Colombia | Puente Interna_x0002_cional Solidaridad Colombia,Highway Crossing,"COLOMBIA SOLIDARITY BRIDGE OPENED IN 1992. The Presidential permit for this bridge was approved in 1990. The bridge is 1,216 feet long with four travel lanes and a sidewalk in each direction. The U.S. side of the bridge is owned and operated by the City of Laredo and the Mexican side is owned by the Government of Mexico and operated by Corporación para el Desarrollo de la Zona Fronteriza de Nuevo León (CODEFRONT).",Opened in 1992.,City of Laredo,Owner Operated,Government of Mexico,Corporación para el Desarrollo de la Zona Fronteriza de Nuevo León (CODEFRONT),SH 255,NL 1,SH 255 connects to FM 1472/Mines Road and I-35. FM 1472/ Mines Road provides access to I-35 which is part of the National Highway Freight Network and I-69W/US 59 which is part of the Texas Highway Freight Network.,The bridge access road connects to MEX 2.,"The Colombia Solidarity Bridge land port of entry  (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). It was constructed in 1991.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,Colombia Solidarity Bridge is the only hazardous materials crossing in Laredo.,"No comments on factsheet - Referred to website
Built in 1991
Opened in 2000 - (Kent Richard - Laredo; 08/20/2025 telephone call)
Year(s) Colombia Solidarity Bridge was modernized/renovated/expanded or rebuilt/replaced June 16, 2025 Presidential Permit Application approved for bridge expansion",0959 International Bridge Colombia – Mexico Projects
17,LRD-LRD-WORL,World Trade Bridge (Laredo Bridge IV),"Puente Internacional del Comercio Mundial, Nuevo Laredo III",Laredo,Laredo,"Laredo, Webb County, Texas, U.S. – Nuevo Laredo, Tamaulipas, MX","Laredo North | Bridge IV | Laredo IV | World Trade International Bridge | Puente Nuevo Laredo III | Puente Internacional Comercio Mundial, Nuevo Laredo III | Puente Internacional Nuevo Laredo III | Puente del Comercio Mundial Nuevo Laredo III | Puente del Comercio Mundial",Highway Crossing,"WORLD TRADE BRIDGE OPENED IN 2000. The Presidential permit for this bridge was approved in 1994. The bridge is 977 feet long and is only for 
commercial trucks. Four vehicle lanes cross the border in each direction. The U.S. side of the bridge is owned and operated by the City of Laredo. The Mexican side is owned by the Government of Mexico and operated by the Fideicomiso del Puente III.",Opened in 2000.,City of Laredo,Owner Operated,Government of Mexico,Fideicomiso del Puente III,I 69W/US 59,Cam. al Puente Internacional Comercio Mundial,The bridge access road feeds directly into I-69W/US 59. These highways are part of the Texas Highway Freight Network as well as I-35/US 83 which is part of the National Highway Freight Network.,The bridge access road connects to MEX 2.,"The World Trade Bridge land port of entry (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). It became operational on April 15, 2000.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,"World Trade Bridge 
is the busiest 
commercial truck 
crossing on the 
U.S.-Mexico border.","No comments on factsheet - Referred to website
Built in 2000
Opened in April 2000 -  (Kent Richard - Laredo; 08/20/2025 telephone call)
Year(s) World Trade Bridge modernized/renovated/expanded or rebuilt/replaced? May 31, 2024 Presidential Permit Application approved for bridge expansion and WTB Admin Building offices renovation started on April 22, 2025.",0108 Nuevo Laredo III International Bridge – Mexico Projects
18,LRD-LRD-CANA,Canadian Pacific Kansas City Laredo Railroad Bridge,Puente Internacional Ferroviario Nuevo Laredo - Laredo Texas,Laredo,Laredo,"Laredo, Webb County, Texas, U.S. – Nuevo 
Laredo, Tamaulipas, MX",,Railroad Crossing,"ORIGINALLY BUILT IN 1920, this railroad port of entry is equipped with a high-energy system to conduct non-invasive inspection of railcars. 
Agencia Nacional de Aduanas de México (ANAM) has a building on the premises allowing for joint cargo inspections with U.S. Customs and Border Protection (CBP). Both the Union Pacific and Canadian Pacific Kansas City Laredo (CPKC) Railroads, which this bridge serves, have yards with secondary inspection areas. The U.S. side of the bridge is owned and operated by CPKC. The Mexican side is owned by the Government of Mexico and operated by CPKC de México. Construction of a second span was completed in December 2024 and opened in February 2025.",Originally built in 1920. Second span completed in 2024.,Canadian Pacific Kansas City,Owner Operated,Government of Mexico,Canadian Pacific Kansas City de México,N/A,N/A,,,,"IN THE U.S.: Corpus Christi, Texas and San Antonio, Texas
IN MEXICO: Monterrey, Nuevo León",,,,
19,LRD-LRD-GTAB,Gateway to the Americas Bridge (Laredo Bridge I),Puente Internacional Puerta de las Américas,Laredo,Laredo,"Laredo, Webb County, Texas, U.S. – Nuevo 
Laredo, Tamaulipas, MX",Convent Avenue Bridge | Laredo International Bridge | Bridge #1 | Old Bridge | Lare_x0002_do-Nuevo Laredo Bridge I | Laredo Convent Avenue Port of Entry | Gateway to the Americas International Bridge | Puente Internacional Puerta de las Américas Nuevo Laredo I | Puente Laredo I | Puente Viejo | Puente Nuevo Laredo,Highway Crossing,"GATEWAY TO THE AMERICAS BRIDGE WAS A PRIVATELY OWNED FACILITY that the City of Laredo purchased in 1946. After being destroyed by a flood in 1954, the City rebuilt it in 1956. The bridge is 1,050 feet long and accommodates two lanes of traffic and one pedestrian walkway in each direction. Northbound vehicle traffic is limited to passenger vehicles with drivers who are a member of the SENTRI trusted traveler program. The U.S. side of the bridge is owned and operated by the City of Laredo. The Mexican side of the bridge is owned by the Government of Mexico and operated by Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE).","Purchased in 1946, destroyed in 1954, and reconstructed in 1956.",City of Laredo,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),Convent Ave.,MEX 85,"The bridge access road, Convent Avenue, intersects with Matamoros Street and Houston Street that connect to I-35 which is part of the National Highway Freight Network and US 83 which is part of the Texas Highway Freight Network.","The bridge access road, Avenida Vicente Guerrero, is also designated MEX 85.","The Gateway to the Americas Bridge land port of entry (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). The border station was constructed in 1943. It was modernized and renovated in 1991 and 2018. The Administration Building is listed on the National Historic Registry.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles.,"In 2024, 69 percent of northbound pedestrian crossings in the Laredo region were at Gateway to the Americas Bridge.","No comments on factsheet - Referred to website
Built in 1954
Cannot confirm opening date -  (Kent Richard - Laredo; 08/20/2025 telephone call)
Year Bridge was modernized/renovated/expanded or rebuilt/replaced? New Office Admin Building was completed on December 2006",0523 Laredo I International Bridge – Mexico Projects
20,LRD-LRD-JUAR,Juárez-Lincoln International Bridge (Laredo Bridge II),"Puente Internacional Juárez – Lincoln, Nuevo Laredo II",Laredo,Laredo,"Laredo, Webb County, Texas, U.S. – Nuevo 
Laredo, Tamaulipas, MX",Bridge II | Laredo – Nuevo Laredo Bridge II | Juárez-Lincoln Bridge | Laredo II | J&L | Puente Internacional Juárez – Lincoln Nuevo Laredo II | Puente 2 | Puente Nuevo | Puente Juárez – Lincoln | Puente Internacional Nuevo Laredo II (Juárez) – Lincoln,Highway Crossing,"JUÁREZ-LINCOLN INTERNATIONAL BRIDGE (Laredo Bridge II) IS 1,008 FEET LONG. It has four southbound lanes and four northbound lanes for non-commercial traffic. The bridge opened in 1976. The U.S. side of the bridge is owned and operated by the City of Laredo. The Mexican side of the bridge is owned by the Government of Mexico and operated by Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE).",Opened in 1976.,City of Laredo,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),Santa Ursula Ave./San Dario Ave.,C. Leandro Valle/Blvd. 15 de Junio,The bridge access road feeds directly into the southern terminus of I-35 which is part of the National High_x0002_way Freight Network. It also connects to Houston Street/Matamoros Street which is also designated US 83. I-35 connects with US 59 and Loop 20 which are part of the Texas Highway Freight Network. US 83 connects with Loop 20 and SH 359.,"The bridge access road connects directly to Avenida Luis Donaldo Colosio, the loop around Nuevo Laredo. This highway provides access to MEX 2, MEX 85, and TAM 1.","The Juárez-Lincoln International Bridge land port of entry (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). It was completed in 1982 and renovated in 2000 and 2018. In 2011, GSA completed a Customs & Border Protection (CBP)-funded project to add three additional primary inspections lanes for a total of 15 primary inspection lanes.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles.,Juárez-Lincoln International Bridge had the most northbound passenger vehicle crossings in the Laredo region in 2024.,"No comments on factsheet - Referred to website
Built in 1976
Opened in 1976 -  (Kent Richard - Laredo; 08/20/2025 telephone call)",0520 Juárez – Lincoln International Bridge (Laredo II) – Mexico Projects
21,RGV-ROM-LAKF,Lake Falcon Dam International Crossing,Puente Internacional Presa Falcón - Falcón Heights,Pharr,Roma,"Falcon Heights, Starr County, Texas, U.S. - 
Ciudad Guerrero, Tamaulipas, MX",Falcon Dam | Lake Falcon Dam Crossing | Puente Internacional Presa Falcón–Falcón Heights | Cruce Internacional Presa Falcón | Puente San Juan | Puente Internacional de la Presa | Bordo Interna_x0002_cional de la Presa,Highway Crossing,"BUILT AND OPENED IN 1960, this crossing is a two-lane road on top of Lake Falcon Dam. Presidential permits were not required for structures built before 1972. The U.S. side of the crossing is owned and operated by the U.S. section of the International Boundary and Water Commission (IBWC). The Mexican side is owned by the Mexican section of the IBWC.",Dam constructed in 1953. Border Station opened in 1960.,International Boundary and Water Commission (U.S. Section),Owner Operated,International Boundary and Water Commission (Mexican Section),Owner Operated,FM 2098,Local Road,"The bridge access road, FM 2098, connects to US 83 which is part of the Texas Highway Freight Network.",The bridge access road provides access to MEX 2.,"The land port of entry (LPOE) was constructed in 1953 by the IBWC. The building was expanded in 1977, 1989, and 2009. The border station was transferred from the IBWC to U.S. Customs and Border Protection (CBP) after construction of the dam.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles.,Lake Falcon Dam International Crossing is the only federally owned international bridge in the Rio Grande Valley region. The dam provides flood control and generates electricity.,,
22,RGV-ROM-ROMA,Roma-Ciudad Miguel Alemán International Bridge,Puente Internacional Miguel Alemán-Roma,Pharr,Roma,"Roma, Starr County, Texas, U.S. - Ciudad 
Miguel Alemán, Tamaulipas, MX",Starr County International Bridge | Roma Bridge | Roma-Ciudad Miguel Alemán Bridge | Puente Internacional Miguel Alemán-Roma | Puente Roma-Miguel Alemán | Puente Miguel Alemán,Highway Crossing,"A TWO-LANE FACILITY, this bridge opened in 1978. This two-lane bridge is 810 feet long. The U.S. side of the bridge is owned and operated by Starr County. The Presidential permit for this facility was approved in 1977. The Mexican side is owned by the Government of Mexico and operated by Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE). ",Opened in 1978.,Starr County,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),Bravo Blvd./Franklin Ave.,C. Hidalgo/C. Zapata and C. Manuel Cavazos Lerma,"The bridge access road, Bravo Boulevard, connects to US 83 which is part of the Texas Highway Freight Network.","The bridge access road, Manuel Cavazos Lerma, connects to MEX 2.",The Roma land port of entry (LPOE) is leased by the United States and is under the control of the U.S. General Services Administration (GSA). It is owned by Starr County and was completed in 1989. An offsite secondary commercial inspection facility was opened in 2024.,N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,The number one commodity that crossed Roma-Ciudad Miguel Alemán International Bridge in 2024—valued at $356 million—was edible vegetables and roots.,Opened in 1978 -  (Alicia Travis - 08/20/2025 telephone call),
23,RGV-RGC-STAR,Starr-Camargo Bridge,Puente Internacional Camargo-Rio Grande City,Pharr,Rio Grande City,"Rio Grande City, Starr County, Texas, U.S. - 
Ciudad Camargo, Tamaulipas, MX",Rio Grande City–Camargo International Bridge | Puente Internacional Camargo-Rio Grande City | Puente Camargo–Rio Grande City | Puente Camargo | Puente Rio Grande Camargo,Highway Crossing,"OPENED IN 1966, the Starr-Camargo Bridge is a two-lane facility that is 591 feet long. Presidential permits were not required for structures built before 1972. The U.S. side is owned and operated by Starr-Camargo Bridge Company. The Mexican side is owned by the Government of Mexico and operated by Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE).",Opened in 1966.,Starr Camargo Bridge Company,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),Pete Diaz Ave.,Carr. Al Puente Internacional,"The bridge access road, Pete Diaz Avenue, connects to US 83 which is part of the Texas Highway Freight Network.","The bridge access road, interconnects with TAM 63 and connects to MEX 2.",The Rio Grande City land port of entry is leased by the United States and under the control of the General Services Administration and was constructed in 1966 and upgraded in 1991. It is owned by the Starr-Camargo Bridge Company.,N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,"The number one commodity, by value, that crossed Starr_x0002_Camargo Bridge in 2024 was mineral fuels, oils, and waxes.","
No comments on factsheet
Bridge began operations in 1966.
Year(s) Starr-Camargo Bridge was modernized/renovated/expanded or rebuilt/replaced - First expansion was in 1966 when we built the first building because before that it was just a small wooden building. Attached is the picture of the first building I don’t have one of the wooden building.  The current facilities were completed in 2000.",0501 Camargo International Bridge – Mexico Projects
24,RGV-RGC-LOSE,Los Ebanos Ferry,"Cruce Internacional, “El Chalan” Díaz Ordáz-Los Ebanos",Pharr,Rio Grande City,"Los Ebanos, Hidalgo County, Texas, U.S. – 
Gustavo Díaz Ordaz, Tamaulipas, MX","Los Ebanos – San Miguel Camargo | Ferry Gustavo Díaz Ordáz | Ferry Díaz Ordáz–Los Ebanos | Puente Internacional, “El Chalan” Diaz Ordáz Los Ebanos | El Chalan de Los Ebanos",Highway Crossing,"ALTHOUGH A FERRY HAS OPERATED AT THIS CROSSING 
SINCE THE 1950s, the current ferry has been operating since 1979. The U.S. side of the ferry is owned and operated by the Reyna family. The Mexican side is owned and operated by Armando de la Garza. ",Current ferry operates since 1979.,Reyna family,Owner Operated,Armando de la Garza,Owner Operated,Flores Str.,Cruce Gustavo Díaz Ordaz,"The ferry crossing access road, Flores Street, leads into the town of Los Ebanos which is located south of US 83, which is part of the Texas Highway Freight Network.","The ferry crossing access road, Adolfo López Mateos, leads into the town of Gustavo Díaz Ordáz, which is located north of MEX 2.",The land port of entry (LPOE) was completed in April 1992 and is owned by Customs and Border Protection (CBP). The land is owned by the ferry owner. This is one of three Texas border inspection facilities owned by CBP.,N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles.,Los Ebanos Ferry is the only hand-drawn ferry on the US-Mexico border.,,
25,RGV-HID-ANZA,Anzalduas International Bridge,Puente Internacional Anzaldúas Reynosa-Mission,Pharr,Hidalgo,"Mission, Hidalgo County, Texas, U.S. – Reynosa, Tamaulipas, MX",Sharyland Bridge | Puente Internacional Anzaldúas Reynosa-Mission | Puente Internacional Reynosa-Mission | Puente Anazaldúas | Puente Internacional Anazaldúas,Highway Crossing,"ANZALDUAS INTERNATIONAL BRIDGE BEGAN OPERATIONS
IN 2009. It is a four-lane vehicular undivided bridge (two southbound lanes and two northbound lanes), which spans 3.3 miles. The Presidential permit for this facility was issued in 1999. The U.S. side is owned by the cities of Hidalgo, McAllen, Mission, and Granjeno and operated by the City of McAllen. The Mexican side is owned by the Government of Mexico and operated by Grupo Marhnos.",Opened in 2009.,"Cities of McAllen, Mission, Hidalgo, and Granjeno",City of McAllen,Government of Mexico,Grupo Marhnos,FM 396/Anzalduas Highway,MEX 40,"The bridge access road, FM 396/Anzalduas Highway, connects to FM 1016/East Military Road and I-2. Farther to the east, I-2 is a designated portion of the National Highway Freight Network.",The bridge access road connects to MEX 40 which provides access to MEX 2.,The Anzalduas land port of entry (LPOE) opened in 2009.,N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,"At 3.3 miles, Anzalduas International Bridge is the longest bridge on the Texas-Mexico border.",Information is correct as in factsheet,"0124 Reynosa-McAllen International Bridge ""Anzaldúas"" – Proyectos México"
26,RGV-HID-MCAL,McAllen/Hidalgo International Bridge,Puente Internacional Reynosa - Hidalgo,Pharr,Hidalgo,"Hidalgo, Hidalgo County, Texas, U.S. – Reynosa, Tamaulipas, MX",Hidalgo Bridge | McAllen-Hidalgo Bridge | McAllen-Hidalgo-Reynosa International Bridge | Puente Internacional Reynosa–Hidalgo | Puente Reynosa_x0002_Hidalgo I y II | Puente Reynosa | Puente Reynosa-McAllen I,Highway Crossing,"CONSISTING OF TWO STRUCTURES, the McAllen/Hidalgo International Bridge includes an older four-lane bridge, which is 524 feet long and was built in 1965. This bridge serves only southbound traffic. The newer four-lane bridge, which is 852 feet long and was built in 1987, serves only northbound traffic. This crossing also accommodates pedestrians. The Presidential permit for the second structure was issued in 1985. The U.S. side of the bridge is owned and operated by the City of McAllen. The Mexican side of the bridge is owned by the Government of Mexico and operated by Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE).",Current bridge comprise older structure built in 1965 and newer structure built in 1987.,City of McAllen,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),South International  Blvd.,Lib. Luis Echeverría Alvarez,"The bridge access road, South International Boulevard, connects to US 281 and I-2.","The bridge access road, Luis Echeverría, connects with MEX 97 and connects to MEX 2 and MEX 40.","The Hidalgo land port of entry (LPOE) is leased by the United States and under the control of the U.S. General Services Administration (GSA). It was completed in 1982, and is owned by the City of McAllen.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles.,"McAllen/Hidalgo International Bridge is the number one bridge in the Rio Grande Valley region in 2024 for northbound pedestrian, passenger vehicle, and bus crossings.",Information is correct as in factsheet,
27,RGV-HID-PHAR,Pharr International Bridge,Puente Internacional Nuevo Amanecer Reynosa-Pharr,Pharr,Hidalgo,"Pharr, Hidalgo County, Texas, U.S. – Reynosa, Tamaulipas, MX",Pharr-Reynosa International Bridge on the Rise | Pharr-Reynosa International Bridge | Puente Internacional Nuevo Amanecer Reynosa-Pharr | Puente Internacional Reynosa-Pharr | Nuevo Amanecer | Puente Internacional Nuevo Amanecer,Highway Crossing,"OPENED IN 1994, this crossing consists of one four-lane bridge (three northbound lanes and one southbound lane) that is 16,896 feet long. A Presidential permit for initial construction was issued in 1978. In 2020, a Presidential permit was issued to build a second span. The U.S. side of the bridge is owned and operated by the City of Pharr. The Mexican side is owned by the Government of Mexico and operated by Compa��a Contratista Nacional (CONOCAL).",Opened in 1994.,City of Pharr,Owner Operated,Government of Mexico,Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE),South Cage Blvd.,Av. Puente Pharr,"The bridge access road, South Cage Boulevard, connects to US 281 which is part of the Texas Highway Freight Network, and I-2 and I-69C; both of which are part of the National Highway Freight Network.","The bridge access road, 
Avenida Puente Pharr, connects to MEX 2 
and MEX 2D.","The Kika de la Garza (Pharr) land port of 
entry (LPOE) is owned by the United States and is under the jurisdiction, custody, and control of the U.S. General Services Administration (GSA). It opened to traffic in April 1996.",N/A,The number of lanes and hours of operation pertain to U.S. facilities. Toll rates are for 2-axle passenger vehicles and 5-axle commercial trucks.,"Pharr International 
Bridge is the number 
one border crossing in 
the U.S. for produce.","Year did operations start (i.e., year the bridge was opened for traffic) - 1994
Year(s) bridge was modernized/renovated/expanded or rebuilt/replaced - 
2020 Bridge Headquarters Project (Office Expansion) 
2015-2024 DAP15 Project
2024-2026 DAP16 Project
2024-2025 Bridge Expansion Project (aka Second Span, Twin Span, Twin Bridge)

Comments on factsheet:
- Change bridge length fo 16,896 feet
- Change number of commercial truck lanes to 
- Change Commercial Truck weekend hours to Saturday  7:45am-3:55pm and Sunday 8:45am-2:55pm",0527 Reynosa International Bridge – Mexico Projects
